SAFRA,Município,REGIAO,PRODUCAO
99/00,Pinhal de São Bento,Sudoeste,41.67
00/01,Wenceslau Braz,Norte,40.0
01/02,Wenceslau Braz,Norte,50.0
02/03,Wenceslau Braz,Norte,53.33
03/04,Wenceslau Braz,Norte,50.0
04/05,Wenceslau Braz,Norte,44.25
05/06,Wenceslau Braz,Norte,53.92
06/07,Wenceslau Braz,Norte,55.78
07/08,Wenceslau Braz,Norte,57.85
08/09,Wenceslau Braz,Norte,52.5
09/10,Wenceslau Braz,Norte,55.0
10/11,Wenceslau Braz,Norte,61.67
11/12,Wenceslau Braz,Norte,61.98
12/13,Wenceslau Braz,Norte,58.33
13/14,Wenceslau Braz,Norte,37.18
14/15,Wenceslau Braz,Norte,57.83
15/16,Wenceslau Braz,Norte,56.67
16/17,Wenceslau Braz,Norte,63.33
17/18,Wenceslau Braz,Norte,64.0
18/19,Wenceslau Braz,Norte,59.5
19/20,Wenceslau Braz,Norte,63.33
20/21,Wenceslau Braz,Norte,65.0
21/22,Wenceslau Braz,Norte,60.83
22/23,Wenceslau Braz,Norte,66.33
23/24,Wenceslau Braz,Norte,40.83
