municipio,SAFRA,Latitude,Longitude,Altitude (m),Tmax (°C),Tmin (°C),Tmed (°C),UR (%),U2 (m/s),RS (MJ/m²d),Chuva (mm),ano,mes,NDVI,AREA_TOTAL,REGIAO,Solo
Antonina,24/25,-25.1,-48.7167,500.0,28.105409836065576,16.147622950819674,21.229262295081966,75.9716393442623,0.02622950819672131,14.063360655737705,3.5308196721311473,2024.0,10.508196721311476,,,,Cambissolo Háplico distrófico
Antonina,99/00,-25.099999999999998,-48.7167,500.0,26.505164835164834,17.66032967032967,21.40857142857143,85.00989010989011,0.023406593406593405,17.03043956043956,5.4009890109890115,2000.0,2.0,,,,Cambissolo Háplico distrófico
Bandeirantes,00/01,-23.11,-50.3678,420.0,29.880471698113208,19.509952830188677,24.492264150943395,75.2286320754717,2.1720754716981134,20.746556603773588,4.912122641509433,2000.4245283018868,6.89622641509434,0.5910834905660377,7500.0,Norte,Nitossolo Vermelho eutrófico
Bandeirantes,01/02,-23.11,-50.3678,420.0,30.07674528301887,18.870896226415095,24.238490566037736,73.13566037735849,2.350566037735849,21.33448113207547,4.693160377358491,2001.4245283018868,6.89622641509434,0.5996129716981132,9000.0,Norte,Nitossolo Vermelho eutrófico
Bandeirantes,02/03,-23.11,-50.3678,420.0,30.046179245283017,19.585990566037733,24.58853773584906,75.1152358490566,2.2524056603773586,20.241650943396223,5.208018867924528,2002.4245283018868,6.89622641509434,0.5130772798742138,9900.0,Norte,Nitossolo Vermelho eutrófico
Bandeirantes,03/04,-23.110000000000003,-50.3678,420.0,30.60676056338028,18.299483568075118,24.152629107981223,70.18356807511738,2.5887323943661973,21.57525821596244,3.751924882629108,2003.4272300469484,6.873239436619718,0.585323082942097,12000.0,Norte,Nitossolo Vermelho eutrófico
Bandeirantes,04/05,-23.11,-50.3678,420.0,30.374764150943395,18.7613679245283,24.352311320754715,71.7922641509434,2.4306603773584903,20.59985849056604,4.685188679245283,2004.4245283018868,6.89622641509434,0.5196599056603773,15500.0,Norte,Nitossolo Vermelho eutrófico
Bandeirantes,05/06,-23.11,-50.3678,420.0,29.60301886792453,19.090188679245284,24.073632075471696,76.04028301886792,2.423679245283019,19.969858490566036,4.784339622641509,2005.4245283018868,6.89622641509434,0.564530856918239,16300.0,Norte,Nitossolo Vermelho eutrófico
Bandeirantes,06/07,-23.11,-50.3678,420.0,29.719764150943398,19.45679245283019,24.407971698113208,75.30051886792452,2.335896226415094,20.34617924528302,5.532311320754717,2006.4245283018868,6.89622641509434,0.5284897405660377,14350.0,Norte,Nitossolo Vermelho eutrófico
Bandeirantes,07/08,-23.110000000000003,-50.3678,420.0,30.97356807511737,19.159530516431925,24.753145539906104,70.21234741784038,2.552535211267606,20.55924882629108,4.036854460093897,2007.4272300469484,6.873239436619718,0.5941483959311424,13400.0,Norte,Nitossolo Vermelho eutrófico
Bandeirantes,08/09,-23.11,-50.3678,420.0,29.893301886792454,18.676698113207546,24.037216981132076,73.23056603773584,2.411179245283019,20.770707547169813,4.52622641509434,2008.4245283018868,6.89622641509434,0.6222380896226416,13550.0,Norte,Nitossolo Vermelho eutrófico
Bandeirantes,09/10,-23.11,-50.3678,420.0,28.418066037735848,19.885518867924524,24.014150943396228,83.29132075471698,2.2662264150943394,18.95674528301887,7.001415094339622,2009.4245283018868,6.89622641509434,0.6318123034591195,13700.0,Norte,Nitossolo Vermelho eutrófico
Bandeirantes,10/11,-23.11,-50.3678,420.0,29.532028301886793,18.93292452830189,23.957358490566037,74.93122641509434,2.389103773584906,19.82792452830189,4.608867924528302,2010.4245283018868,6.89622641509434,0.5901764544025158,14140.0,Norte,Nitossolo Vermelho eutrófico
Bandeirantes,11/12,-23.110000000000003,-50.3678,420.0,31.572957746478874,18.53164319248826,24.76070422535211,66.09018779342722,2.4807042253521128,22.332910798122064,3.485868544600939,2011.4272300469484,6.873239436619718,0.5537732785602504,14500.0,Norte,Nitossolo Vermelho eutrófico
Bandeirantes,12/13,-23.11,-50.3678,420.0,31.184150943396226,19.569433962264153,25.085283018867923,70.62014150943396,2.4985849056603775,20.37264150943396,3.9414622641509434,2012.4245283018868,6.89622641509434,0.5832165094339623,15500.0,Norte,Nitossolo Vermelho eutrófico
Bandeirantes,13/14,-23.11,-50.3678,420.0,30.677169811320756,19.184575471698114,24.678396226415092,70.91882075471699,2.46127358490566,20.927971698113204,4.342122641509434,2013.4245283018868,6.89622641509434,0.5948975628930818,16190.0,Norte,Nitossolo Vermelho eutrófico
Bandeirantes,14/15,-23.11,-50.3678,420.0,30.176603773584905,19.624481132075474,24.647735849056602,74.17316037735849,2.2769339622641507,20.82268867924528,4.736084905660377,2014.4245283018868,6.89622641509434,0.5278598663522013,17480.0,Norte,Nitossolo Vermelho eutrófico
Bandeirantes,15/16,-23.110000000000003,-50.3678,420.0,28.828262910798124,20.126150234741782,24.29737089201878,82.17112676056338,2.1786854460093896,18.60924882629108,8.064647887323943,2015.4272300469484,6.873239436619718,0.6418773865414711,18160.0,Norte,Nitossolo Vermelho eutrófico
Bandeirantes,16/17,-23.11,-50.3678,420.0,29.094622641509435,18.90325471698113,23.767311320754718,76.90382075471699,2.2700943396226414,21.08254716981132,4.251367924528302,2016.4245283018868,6.89622641509434,0.6167745283018868,18200.0,Norte,Nitossolo Vermelho eutrófico
Bandeirantes,17/18,-23.11,-50.3678,420.0,29.790377358490566,19.37801886792453,24.31084905660377,76.33443396226414,2.369858490566038,20.064056603773583,5.679575471698113,2017.4245283018868,6.89622641509434,0.6045555817610063,18240.0,Norte,Nitossolo Vermelho eutrófico
Bandeirantes,18/19,-23.11,-50.3678,420.0,29.928632075471697,19.795235849056603,24.705047169811323,76.08264150943397,2.227311320754717,20.763584905660377,4.805471698113207,2018.4245283018868,6.89622641509434,0.6020564465408805,18250.0,Norte,Nitossolo Vermelho eutrófico
