SAFRA,Município,REGIAO,AREA TOTAL,PRODUCAO
06/07,Mato Rico,Sul,4000,11600
07/08,Mato Rico,Sul,4200,12600
08/09,Mato Rico,Sul,4400,12760
09/10,Mato Rico,Sul,5250,16275
10/11,Mato Rico,Sul,5250,"17062,5"
11/12,Mato Rico,Sul,5500,16500
12/13,Mato Rico,Sul,9000,22500
13/14,Mato Rico,Sul,10400,31200
14/15,Mato Rico,Sul,10600,31800
15/16,Mato Rico,Sul,9200,21620
16/17,Mato Rico,Sul,9200,34500
17/18,Mato Rico,Sul,9200,34960
18/19,Mato Rico,Norte,9500,31825
19/20,Mato Rico,Sul,9600,35520
20/21,Mato Rico,Sul,10300,35741
21/22,Mato Rico,Norte,13000,28600
22/23,Mato Rico,Sul,13800,48300
23/24,Mato Rico,Sul,13900,46565
96/97,Mato Rico,Sul,1000,2200
97/98,Mato Rico,Sul,1500,3300
98/99,Mato Rico,Sul,1500,3300
99/00,Mato Rico,Sul,1500,3720
00/01,Moreira Sales,Centro-oeste,3000,8553
01/02,Moreira Sales,Centro-oeste,6300,"18742,5"
02/03,Moreira Sales,Centro-oeste,10250,"27951,75"
03/04,Moreira Sales,Centro-oeste,14000,32970
04/05,Moreira Sales,Centro-oeste,15500,32550
05/06,Moreira Sales,Centro-oeste,15000,37200
06/07,Moreira Sales,Centro-oeste,14000,42000
07/08,Moreira Sales,Centro-oeste,14000,37520
08/09,Moreira Sales,Centro-oeste,15300,"37109,5"
09/10,Moreira Sales,Centro-oeste,12300,39021
10/11,Moreira Sales,Centro-oeste,12000,39264
11/12,Moreira Sales,Centro-oeste,13000,30615
12/13,Moreira Sales,Centro-oeste,13116,"41858,8"
13/14,Moreira Sales,Centro-oeste,13100,43636
14/15,Moreira Sales,Centro-oeste,13200,40560
15/16,Moreira Sales,Centro-oeste,13500,"38288,3"
16/17,Moreira Sales,Centro-oeste,13000,45123
17/18,Moreira Sales,Centro-oeste,12200,40260
18/19,Moreira Sales,Centro-oeste,13000,33839
19/20,Moreira Sales,Centro-oeste,13100,40610
20/21,Moreira Sales,Centro-oeste,13100,40610
21/22,Moreira Sales,Centro-oeste,14000,13300
22/23,Moreira Sales,Centro-oeste,14000,57260
23/24,Moreira Sales,Centro-oeste,14000,30100
96/97,Moreira Sales,Centro-oeste,1650,3960
97/98,Moreira Sales,Centro-oeste,2000,4600
98/99,Moreira Sales,Centro-oeste,2600,6500
99/00,Moreira Sales,Centro-oeste,2200,5456
00/01,Nova Esperança do Sudoeste,Sudoeste,350,1120
01/02,Nova Esperança do Sudoeste,Sudoeste,1000,2500
02/03,Nova Esperança do Sudoeste,Sudoeste,1000,3000
03/04,Nova Esperança do Sudoeste,Sudoeste,2000,4000
04/05,Nova Esperança do Sudoeste,Sudoeste,2300,2576
05/06,Nova Esperança do Sudoeste,Sudoeste,1550,2800
06/07,Nova Esperança do Sudoeste,Sudoeste,1450,4275
07/08,Nova Esperança do Sudoeste,Sudoeste,1400,3920
08/09,Nova Esperança do Sudoeste,Sudoeste,1500,3750
09/10,Nova Esperança do Sudoeste,Sudoeste,2300,6700
10/11,Nova Esperança do Sudoeste,Sudoeste,2100,7350
11/12,Nova Esperança do Sudoeste,Sudoeste,2000,4000
12/13,Nova Esperança do Sudoeste,Sudoeste,2050,6260
13/14,Nova Esperança do Sudoeste,Sudoeste,2150,5965
14/15,Nova Esperança do Sudoeste,Sudoeste,2420,7730
15/16,Nova Esperança do Sudoeste,Sudoeste,2550,8340
16/17,Nova Esperança do Sudoeste,Sudoeste,2300,8970
17/18,Nova Esperança do Sudoeste,Sudoeste,1500,5400
18/19,Nova Esperança do Sudoeste,Sudoeste,1700,4930
19/20,Nova Esperança do Sudoeste,Sudoeste,1800,7560
20/21,Nova Esperança do Sudoeste,Sudoeste,1950,7800
21/22,Nova Esperança do Sudoeste,Sudoeste,2450,2205
22/23,Nova Esperança do Sudoeste,Sudoeste,2900,11600
23/24,Nova Esperança do Sudoeste,Sudoeste,2900,9280
96/97,Nova Esperança do Sudoeste,Sudoeste,100,250
97/98,Nova Esperança do Sudoeste,Sudoeste,150,330
98/99,Nova Esperança do Sudoeste,Sudoeste,150,345
99/00,Nova Esperança do Sudoeste,Sudoeste,150,345
00/01,Pinhal de São Bento,Sudoeste,300,960
01/02,Pinhal de São Bento,Sudoeste,400,1040
02/03,Pinhal de São Bento,Sudoeste,600,1740
03/04,Pinhal de São Bento,Sudoeste,800,1600
04/05,Pinhal de São Bento,Sudoeste,1160,1334
05/06,Pinhal de São Bento,Sudoeste,800,1704
06/07,Pinhal de São Bento,Sudoeste,800,2400
07/08,Pinhal de São Bento,Sudoeste,600,1680
08/09,Pinhal de São Bento,Sudoeste,660,1188
09/10,Pinhal de São Bento,Sudoeste,900,2905
10/11,Pinhal de São Bento,Sudoeste,900,3060
11/12,Pinhal de São Bento,Sudoeste,800,1520
12/13,Pinhal de São Bento,Sudoeste,900,2710
13/14,Pinhal de São Bento,Sudoeste,1300,3760
14/15,Pinhal de São Bento,Sudoeste,1200,4200
15/16,Pinhal de São Bento,Sudoeste,1900,6555
16/17,Pinhal de São Bento,Sudoeste,1800,7020
17/18,Pinhal de São Bento,Sudoeste,1800,6480
18/19,Pinhal de São Bento,Sudoeste,1800,5940
19/20,Pinhal de São Bento,Sudoeste,1900,7410
20/21,Pinhal de São Bento,Sudoeste,2100,7770
21/22,Pinhal de São Bento,Sudoeste,2320,2796
22/23,Pinhal de São Bento,Sudoeste,2450,9445
23/24,Pinhal de São Bento,Sudoeste,2450,9065
96/97,Pinhal de São Bento,Sudoeste,220,506
97/98,Pinhal de São Bento,Sudoeste,300,630
98/99,Pinhal de São Bento,Sudoeste,300,690
99/00,Pinhal de São Bento,Sudoeste,300,750
00/01,Wenceslau Braz,Norte,410,984
01/02,Wenceslau Braz,Norte,757,2271
02/03,Wenceslau Braz,Norte,780,2496
03/04,Wenceslau Braz,Norte,2000,6000
04/05,Wenceslau Braz,Norte,3043,8079
05/06,Wenceslau Braz,Norte,2821,"9125,94"
06/07,Wenceslau Braz,Norte,4000,13388
07/08,Wenceslau Braz,Norte,5000,17355
08/09,Wenceslau Braz,Norte,5500,17325
09/10,Wenceslau Braz,Norte,8500,28050
10/11,Wenceslau Braz,Norte,9000,33300
11/12,Wenceslau Braz,Norte,9000,33471
12/13,Wenceslau Braz,Norte,11000,38500
13/14,Wenceslau Braz,Norte,14500,"32349,5"
14/15,Wenceslau Braz,Norte,14500,50315
15/16,Wenceslau Braz,Norte,15000,51000
16/17,Wenceslau Braz,Norte,15500,58900
17/18,Wenceslau Braz,Norte,18700,71808
18/19,Wenceslau Braz,Norte,18700,66759
19/20,Wenceslau Braz,Norte,18200,69160
20/21,Wenceslau Braz,Norte,18700,72930
21/22,Wenceslau Braz,Norte,18700,68255
22/23,Wenceslau Braz,Norte,16500,65670
23/24,Wenceslau Braz,Norte,16200,39690
