municipio,SAFRA,ano,mes,REGIAO,Solo,Altitude (m),Tmax (°C),Tmin (°C),Tmed (°C),UR (%),U2 (m/s),RS (MJ/m²d),Chuva (mm),NDVI,AREA TOTAL,PRODUCAO,YIELD_SC_HA
Bandeirantes,11/12,2011,10,Norte,Nitossolo Vermelho eutrófico,420.0,29.476129032258065,17.85677419354839,23.35290322580645,73.06967741935483,2.80741935483871,19.17096774193548,270.66,0.35223333333333334,14500.0,32349.5,37.18
Bandeirantes,11/12,2011,11,Norte,Nitossolo Vermelho eutrófico,420.0,29.75133333333333,16.868666666666666,23.330666666666666,69.02600000000001,2.6523333333333334,24.177000000000003,80.14999999999999,0.479425,14500.0,32349.5,37.18
Bandeirantes,11/12,2011,12,Norte,Nitossolo Vermelho eutrófico,420.0,33.773548387096774,19.65838709677419,26.60483870967742,59.041612903225804,2.325806451612903,25.45967741935484,73.32,0.543625,14500.0,32349.5,37.18
Bandeirantes,11/12,2012,1,Norte,Nitossolo Vermelho eutrófico,420.0,29.838387096774195,19.72290322580645,24.622258064516128,74.96387096774194,2.3425806451612905,22.42838709677419,195.27,0.71685,14500.0,32349.5,37.18
Bandeirantes,11/12,2012,2,Norte,Nitossolo Vermelho eutrófico,420.0,32.785862068965514,21.346896551724136,26.81448275862069,67.46620689655172,1.7941379310344827,22.765172413793106,50.43,0.7646999999999999,14500.0,32349.5,37.18
Bandeirantes,11/12,2012,3,Norte,Nitossolo Vermelho eutrófico,420.0,33.0558064516129,19.661290322580644,25.904193548387095,63.38387096774194,2.27,21.649032258064516,65.24,0.6844500000000001,14500.0,32349.5,37.18
Bandeirantes,12/13,2012,9,Norte,Nitossolo Vermelho eutrófico,420.0,32.35633333333333,15.830333333333334,23.640666666666668,55.59433333333333,3.1353333333333335,20.214,69.37,0.31577500000000003,15500.0,50220.0,54.0
Bandeirantes,12/13,2012,10,Norte,Nitossolo Vermelho eutrófico,420.0,33.78290322580645,19.11741935483871,26.102903225806454,62.01129032258065,2.727096774193549,20.01,68.96000000000001,0.37945,15500.0,50220.0,54.0
Bandeirantes,12/13,2012,11,Norte,Nitossolo Vermelho eutrófico,420.0,33.57533333333333,19.334,26.153333333333332,60.73733333333333,2.930333333333333,21.87,64.25,0.42533333333333334,15500.0,50220.0,54.0
Bandeirantes,12/13,2012,12,Norte,Nitossolo Vermelho eutrófico,420.0,31.87516129032258,22.563225806451616,26.89483870967742,74.66612903225807,1.9583870967741936,21.889032258064514,185.32,0.6117,15500.0,50220.0,54.0
Bandeirantes,12/13,2013,1,Norte,Nitossolo Vermelho eutrófico,420.0,29.306129032258063,19.568709677419356,24.40806451612903,78.41032258064516,2.4951612903225806,22.628709677419355,144.3,0.8255250000000001,15500.0,50220.0,54.0
Bandeirantes,12/13,2013,2,Norte,Nitossolo Vermelho eutrófico,420.0,28.677142857142858,20.655,24.392142857142858,82.36071428571428,1.897857142857143,19.466785714285717,166.18,0.8088749999999999,15500.0,50220.0,54.0
