municipio,SAFRA,REGIAO,Solo,Altitude (m),Tmax (°C),Tmin (°C),Tmed (°C),UR (%),U2 (m/s),RS (MJ/m²d),Chuva (mm),NDVI,AREA TOTAL,PRODUCAO,YIELD_SC_HA
Cruzeiro do Sul,02/03,Noroeste,Latossolo Vermelho distrófico,456.0,30.908301886792454,19.784103773584903,24.80377358490566,74.8667924528302,1.288679245283019,20.766603773584908,1145.99,0.6665042059748427,2122.0,7363.34,57.83
Cruzeiro do Sul,03/04,Noroeste,Latossolo Vermelho distrófico,456.0,31.614647887323944,18.617981220657278,24.547981220657277,68.68384976525822,1.4183098591549297,22.368826291079813,747.92,0.6949015258215963,2240.0,3360.0,25.0
Cruzeiro do Sul,04/05,Noroeste,Latossolo Vermelho distrófico,456.0,30.96608490566038,18.98235849056604,24.465849056603776,72.01334905660377,1.3521226415094338,21.476933962264148,1009.82,0.6853152122641509,2200.0,6380.0,48.33
Cruzeiro do Sul,05/06,Noroeste,Latossolo Vermelho distrófico,456.0,30.183443396226416,19.254481132075473,24.243066037735847,75.73103773584906,1.3307075471698113,20.58009433962264,1104.81,0.5849921383647798,2132.0,4264.0,33.33
Cruzeiro do Sul,06/07,Noroeste,Latossolo Vermelho distrófico,456.0,30.364622641509435,19.78198113207547,24.596037735849055,75.88740566037735,1.287688679245283,20.702594339622642,1180.22,0.6248179245283019,2000.0,6000.0,50.0
Cruzeiro do Sul,07/08,Noroeste,Latossolo Vermelho distrófico,456.0,31.293286384976525,19.373849765258218,24.805023474178405,70.52807511737089,1.4188262910798122,21.194600938967135,892.57,0.5641670187793427,1920.0,4224.0,36.67
Cruzeiro do Sul,08/09,Noroeste,Latossolo Vermelho distrófico,456.0,30.678254716981133,18.916886792452832,24.27985849056604,72.51287735849057,1.3546698113207547,21.604716981132075,928.17,0.5343489386792453,1920.0,4128.0,35.83
Cruzeiro do Sul,09/10,Noroeste,Latossolo Vermelho distrófico,456.0,29.183443396226416,20.05075471698113,24.22056603773585,83.12797169811321,1.292877358490566,20.140518867924527,1705.32,0.6217212657232704,1843.0,5919.72,53.53
Cruzeiro do Sul,10/11,Noroeste,Latossolo Vermelho distrófico,456.0,29.662311320754718,19.058349056603774,23.947311320754718,75.66985849056604,1.3343396226415094,20.130990566037738,1302.29,0.497840998427673,1939.0,6398.7,55.0
Cruzeiro do Sul,11/12,Noroeste,Latossolo Vermelho distrófico,456.0,31.885352112676056,18.60638497652582,24.71943661971831,66.95774647887323,1.3974647887323945,23.19530516431925,768.74,0.5370619327073552,1939.0,2924.0,25.13
Cruzeiro do Sul,12/13,Noroeste,Latossolo Vermelho distrófico,456.0,31.54830188679245,19.76377358490566,25.13259433962264,71.1895283018868,1.3670283018867924,21.386179245283017,963.36,0.5362020047169811,2100.0,7854.0,62.33
Cruzeiro do Sul,13/14,Noroeste,Latossolo Vermelho distrófico,456.0,30.86240566037736,19.244575471698113,24.577594339622642,72.11231132075471,1.4075,21.775188679245282,1009.11,0.41939241352201256,2200.0,5297.6,40.13
Cruzeiro do Sul,14/15,Noroeste,Latossolo Vermelho distrófico,456.0,30.837169811320752,19.94377358490566,24.82311320754717,74.68891509433962,1.3085377358490566,21.55061320754717,1021.52,0.5393625786163522,2400.0,8040.0,55.83
Cruzeiro do Sul,15/16,Noroeste,Latossolo Vermelho distrófico,456.0,29.712816901408452,20.342723004694836,24.547793427230047,81.72042253521127,1.2518779342723003,19.24112676056338,1723.37,0.628022848200313,1950.0,5362.5,45.83
Cruzeiro do Sul,16/17,Noroeste,Latossolo Vermelho distrófico,456.0,30.002028301886792,19.08372641509434,24.01816037735849,75.8079245283019,1.2843396226415094,21.5388679245283,870.94,0.5305185141509434,2000.0,7000.0,58.33
Cruzeiro do Sul,17/18,Noroeste,Latossolo Vermelho distrófico,456.0,30.30858490566038,19.592499999999998,24.397924528301886,76.69377358490566,1.3292924528301886,20.791933962264153,1300.57,0.5122716981132075,2500.0,7750.0,51.67
Cruzeiro do Sul,18/19,Noroeste,Latossolo Vermelho distrófico,456.0,30.73235849056604,20.01816037735849,24.901084905660376,76.13716981132076,1.2558962264150944,21.202075471698112,1042.11,0.44194768081761004,3700.0,6419.5,28.92
Cruzeiro do Sul,19/20,Noroeste,Latossolo Vermelho distrófico,456.0,32.75431924882629,20.08004694835681,25.875023474178406,68.14671361502347,1.3783098591549294,21.853661971830984,833.09,0.4848298513302034,4300.0,12900.0,50.0
