municipio,SAFRA,ano,mes,REGIAO,Solo,Altitude (m),Tmax (°C),Tmin (°C),Tmed (°C),UR (%),U2 (m/s),RS (MJ/m²d),Chuva (mm),NDVI,AREA TOTAL,PRODUCAO,YIELD_SC_HA,GDD,VPD,NDVI_x_RS,NDVI_Quadrado,Tmed_Quadrado,Desvio_Temp_Otima,Chuva_Total_Safra_Anterior,NDVI_Medio_Safra_Anterior
Bandeirantes,06/07,2006,11,Norte,Nitossolo Vermelho eutrófico,420.0,33.169000000000004,19.961666666666662,26.33833333333333,62.41733333333333,2.7816666666666667,21.630666666666663,75.23,0.310225,14350.0,39462.5,45.83,16.565333333333335,1.2888065642743898,6.710373566666665,0.09623955062499999,693.7078027777777,5.467802777777767,1014.28,0.5655023809523809
Bandeirantes,06/07,2006,12,Norte,Nitossolo Vermelho eutrófico,420.0,29.792580645161287,21.150967741935485,25.35935483870968,78.94677419354838,2.291935483870968,21.162258064516127,256.56,0.586275,14350.0,39462.5,45.83,15.471774193548384,0.6813287900860628,12.406902846774193,0.343718375625,643.0968778355881,1.8478455775234228,1014.28,0.5655023809523809
Bandeirantes,06/07,2007,1,Norte,Nitossolo Vermelho eutrófico,420.0,28.08870967741936,21.52193548387097,24.591290322580647,87.0941935483871,2.4035483870967744,18.32193548387097,324.56,0.8169,14350.0,39462.5,45.83,14.805322580645164,0.3989794076720554,14.967189096774195,0.6673256099999999,604.7315597294486,0.3496242455775261,1014.28,0.5655023809523809
Bandeirantes,06/07,2007,2,Norte,Nitossolo Vermelho eutrófico,420.0,28.728571428571428,20.62821428571429,24.60107142857143,82.42714285714285,1.957142857142857,21.961071428571422,144.47,0.6672,14350.0,39462.5,45.83,14.67839285714286,0.543577559255013,14.652426857142853,0.44515584,605.2127154336736,0.3612868622448997,1014.28,0.5655023809523809
Bandeirantes,06/07,2007,3,Norte,Nitossolo Vermelho eutrófico,420.0,29.234193548387097,20.32967741935484,24.85258064516129,78.47096774193548,1.4774193548387096,21.370645161290323,138.92,0.5851,14350.0,39462.5,45.83,14.781935483870967,0.6760261387354739,12.503964483870966,0.3423420099999999,617.6507647242455,0.7268937565036404,1014.28,0.5655023809523809
Bandeirantes,07/08,2007,9,Norte,Nitossolo Vermelho eutrófico,420.0,32.681666666666665,16.843,24.050666666666665,58.95233333333333,3.178333333333333,19.09733333333333,14.68,0.32845,13400.0,38190.0,47.5,14.76233333333333,1.2285582956472498,6.272519133333333,0.10787940250000001,578.434567111111,0.0025671111111109056,1172.85,0.5285392857142857
Bandeirantes,07/08,2007,10,Norte,Nitossolo Vermelho eutrófico,420.0,34.071612903225805,19.01451612903226,26.08709677419355,58.95903225806452,2.81774193548387,19.62548387096774,65.75,0.3846333333333334,13400.0,38190.0,47.5,16.543064516129032,1.3866862529596722,7.548615279569893,0.14794280111111116,680.5366181061396,4.355972944849126,1172.85,0.5285392857142857
Bandeirantes,07/08,2007,11,Norte,Nitossolo Vermelho eutrófico,420.0,30.330666666666666,18.601,24.221666666666668,71.32266666666666,2.8873333333333333,22.38433333333333,161.72,0.4951,13400.0,38190.0,47.5,14.465833333333332,0.8671593676607992,11.082483433333332,0.24512400999999998,586.6891361111111,0.04913611111111151,1172.85,0.5285392857142857
Bandeirantes,07/08,2007,12,Norte,Nitossolo Vermelho eutrófico,420.0,30.76290322580645,19.885483870967743,25.294193548387096,71.88000000000001,2.002258064516129,23.43903225806452,187.77,0.603625,13400.0,38190.0,47.5,15.324193548387097,0.9065086456188851,14.148385846774193,0.36436314062499997,639.7962272632674,1.6749369406867818,1172.85,0.5285392857142857
Bandeirantes,07/08,2008,1,Norte,Nitossolo Vermelho eutrófico,420.0,29.896774193548385,20.26419354838709,24.83290322580645,76.32322580645162,2.758709677419355,18.674516129032256,158.71,0.77155,13400.0,38190.0,47.5,15.08048387096774,0.7425947392779423,14.408322919354836,0.5952894025,616.6730826222685,0.6937277835587916,1172.85,0.5285392857142857
