municipio,SAFRA,REGIAO,AREA TOTAL,PRODUCAO,YIELD_SC_HA
Nova Esperança do Sudoeste,23/24,Sudoeste,2900,9280.0,53.33
Nova Esperança do Sudoeste,96/97,Sudoeste,100,250.0,41.67
Nova Esperança do Sudoeste,97/98,Sudoeste,150,330.0,36.67
Nova Esperança do Sudoeste,98/99,Sudoeste,150,345.0,38.33
Nova Esperança do Sudoeste,99/00,Sudoeste,150,345.0,38.33
Pinhal de São Bento,00/01,Sudoeste,300,960.0,53.33
Pinhal de São Bento,01/02,Sudoeste,400,1040.0,43.33
Pinhal de São Bento,02/03,Sudoeste,600,1740.0,48.33
Pinhal de São Bento,03/04,Sudoeste,800,1600.0,33.33
Pinhal de São Bento,04/05,Sudoeste,1160,1334.0,19.17
Pinhal de São Bento,05/06,Sudoeste,800,1704.0,35.5
Pinhal de São Bento,06/07,Sudoeste,800,2400.0,50.0
Pinhal de São Bento,07/08,Sudoeste,600,1680.0,46.67
Pinhal de São Bento,08/09,Sudoeste,660,1188.0,30.0
Pinhal de São Bento,09/10,Sudoeste,900,2905.0,53.8
Pinhal de São Bento,10/11,Sudoeste,900,3060.0,56.67
Pinhal de São Bento,11/12,Sudoeste,800,1520.0,31.67
Pinhal de São Bento,12/13,Sudoeste,900,2710.0,50.19
Pinhal de São Bento,13/14,Sudoeste,1300,3760.0,48.21
Pinhal de São Bento,14/15,Sudoeste,1200,4200.0,58.33
Pinhal de São Bento,15/16,Sudoeste,1900,6555.0,57.5
Pinhal de São Bento,16/17,Sudoeste,1800,7020.0,65.0
Pinhal de São Bento,17/18,Sudoeste,1800,6480.0,60.0
Pinhal de São Bento,18/19,Sudoeste,1800,5940.0,55.0
Pinhal de São Bento,19/20,Sudoeste,1900,7410.0,65.0
Pinhal de São Bento,20/21,Sudoeste,2100,7770.0,61.67
Pinhal de São Bento,21/22,Sudoeste,2320,2796.0,20.09
Pinhal de São Bento,22/23,Sudoeste,2450,9445.0,64.25
Pinhal de São Bento,23/24,Sudoeste,2450,9065.0,61.67
Pinhal de São Bento,96/97,Sudoeste,220,506.0,38.33
Pinhal de São Bento,97/98,Sudoeste,300,630.0,35.0
Pinhal de São Bento,98/99,Sudoeste,300,690.0,38.33
Pinhal de São Bento,99/00,Sudoeste,300,750.0,41.67
Wenceslau Braz,00/01,Norte,410,984.0,40.0
Wenceslau Braz,01/02,Norte,757,2271.0,50.0
Wenceslau Braz,02/03,Norte,780,2496.0,53.33
Wenceslau Braz,03/04,Norte,2000,6000.0,50.0
Wenceslau Braz,04/05,Norte,3043,8079.0,44.25
Wenceslau Braz,05/06,Norte,2821,9125.94,53.92
Wenceslau Braz,06/07,Norte,4000,13388.0,55.78
Wenceslau Braz,07/08,Norte,5000,17355.0,57.85
Wenceslau Braz,08/09,Norte,5500,17325.0,52.5
Wenceslau Braz,09/10,Norte,8500,28050.0,55.0
Wenceslau Braz,10/11,Norte,9000,33300.0,61.67
Wenceslau Braz,11/12,Norte,9000,33471.0,61.98
Wenceslau Braz,12/13,Norte,11000,38500.0,58.33
Wenceslau Braz,13/14,Norte,14500,32349.5,37.18
Wenceslau Braz,14/15,Norte,14500,50315.0,57.83
Wenceslau Braz,15/16,Norte,15000,51000.0,56.67
Wenceslau Braz,16/17,Norte,15500,58900.0,63.33
Wenceslau Braz,17/18,Norte,18700,71808.0,64.0
Wenceslau Braz,18/19,Norte,18700,66759.0,59.5
Wenceslau Braz,19/20,Norte,18200,69160.0,63.33
Wenceslau Braz,20/21,Norte,18700,72930.0,65.0
Wenceslau Braz,21/22,Norte,18700,68255.0,60.83
Wenceslau Braz,22/23,Norte,16500,65670.0,66.33
Wenceslau Braz,23/24,Norte,16200,39690.0,40.83
